"export-plot data (NetLogo 6.1.1)"
"final.nlogo"
"03/11/2020 16:28:48:981 -0400"

"MODEL SETTINGS"
"toa"
"194"

"""CAP Count"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","715","0","59.4","true","""Japanese""","false","2"

"pen name","pen down?","mode","interval","color","x"
"""Japanese""","true","0","1","14","685"
"""Union""","true","0","1","102","685"

"""Japanese""",,,,"""Union"""
"x","y","color","pen down?","x","y","color","pen down?"
"0","15","14","true","0","2","102","true"
"1","15","14","true","1","2","102","true"
"2","15","14","true","2","2","102","true"
"3","15","14","true","3","2","102","true"
"4","15","14","true","4","2","102","true"
"5","15","14","true","5","2","102","true"
"6","15","14","true","6","2","102","true"
"7","15","14","true","7","2","102","true"
"8","15","14","true","8","2","102","true"
"9","15","14","true","9","2","102","true"
"10","15","14","true","10","2","102","true"
"11","15","14","true","11","2","102","true"
"12","15","14","true","12","2","102","true"
"13","15","14","true","13","2","102","true"
"14","15","14","true","14","2","102","true"
"15","15","14","true","15","2","102","true"
"16","15","14","true","16","2","102","true"
"17","15","14","true","17","2","102","true"
"18","15","14","true","18","2","102","true"
"19","15","14","true","19","2","102","true"
"20","19","14","true","20","4","102","true"
"21","19","14","true","21","4","102","true"
"22","19","14","true","22","4","102","true"
"23","19","14","true","23","4","102","true"
"24","19","14","true","24","4","102","true"
"25","19","14","true","25","4","102","true"
"26","19","14","true","26","4","102","true"
"27","19","14","true","27","4","102","true"
"28","19","14","true","28","4","102","true"
"29","19","14","true","29","4","102","true"
"30","19","14","true","30","4","102","true"
"31","19","14","true","31","4","102","true"
"32","19","14","true","32","4","102","true"
"33","19","14","true","33","4","102","true"
"34","19","14","true","34","4","102","true"
"35","19","14","true","35","4","102","true"
"36","19","14","true","36","4","102","true"
"37","19","14","true","37","4","102","true"
"38","19","14","true","38","4","102","true"
"39","19","14","true","39","4","102","true"
"40","23","14","true","40","6","102","true"
"41","23","14","true","41","6","102","true"
"42","23","14","true","42","6","102","true"
"43","23","14","true","43","6","102","true"
"44","23","14","true","44","6","102","true"
"45","23","14","true","45","6","102","true"
"46","23","14","true","46","6","102","true"
"47","23","14","true","47","6","102","true"
"48","23","14","true","48","6","102","true"
"49","23","14","true","49","6","102","true"
"50","23","14","true","50","6","102","true"
"51","23","14","true","51","6","102","true"
"52","23","14","true","52","6","102","true"
"53","23","14","true","53","6","102","true"
"54","23","14","true","54","6","102","true"
"55","23","14","true","55","6","102","true"
"56","23","14","true","56","6","102","true"
"57","23","14","true","57","6","102","true"
"58","23","14","true","58","6","102","true"
"59","23","14","true","59","6","102","true"
"60","27","14","true","60","8","102","true"
"61","27","14","true","61","8","102","true"
"62","27","14","true","62","8","102","true"
"63","27","14","true","63","8","102","true"
"64","27","14","true","64","8","102","true"
"65","27","14","true","65","8","102","true"
"66","27","14","true","66","8","102","true"
"67","27","14","true","67","8","102","true"
"68","27","14","true","68","8","102","true"
"69","27","14","true","69","8","102","true"
"70","27","14","true","70","8","102","true"
"71","27","14","true","71","8","102","true"
"72","27","14","true","72","8","102","true"
"73","27","14","true","73","8","102","true"
"74","27","14","true","74","8","102","true"
"75","27","14","true","75","8","102","true"
"76","27","14","true","76","8","102","true"
"77","27","14","true","77","8","102","true"
"78","27","14","true","78","8","102","true"
"79","27","14","true","79","8","102","true"
"80","29","14","true","80","10","102","true"
"81","29","14","true","81","10","102","true"
"82","29","14","true","82","10","102","true"
"83","29","14","true","83","10","102","true"
"84","29","14","true","84","10","102","true"
"85","29","14","true","85","10","102","true"
"86","29","14","true","86","10","102","true"
"87","29","14","true","87","10","102","true"
"88","29","14","true","88","10","102","true"
"89","29","14","true","89","10","102","true"
"90","29","14","true","90","10","102","true"
"91","29","14","true","91","10","102","true"
"92","29","14","true","92","10","102","true"
"93","29","14","true","93","10","102","true"
"94","29","14","true","94","10","102","true"
"95","29","14","true","95","10","102","true"
"96","29","14","true","96","10","102","true"
"97","29","14","true","97","10","102","true"
"98","29","14","true","98","10","102","true"
"99","29","14","true","99","10","102","true"
"100","29","14","true","100","12","102","true"
"101","29","14","true","101","12","102","true"
"102","29","14","true","102","12","102","true"
"103","29","14","true","103","12","102","true"
"104","29","14","true","104","12","102","true"
"105","29","14","true","105","12","102","true"
"106","29","14","true","106","12","102","true"
"107","29","14","true","107","12","102","true"
"108","29","14","true","108","12","102","true"
"109","29","14","true","109","12","102","true"
"110","29","14","true","110","12","102","true"
"111","29","14","true","111","12","102","true"
"112","29","14","true","112","12","102","true"
"113","29","14","true","113","12","102","true"
"114","29","14","true","114","12","102","true"
"115","29","14","true","115","12","102","true"
"116","29","14","true","116","12","102","true"
